"titulo","texto","autor","fecha","reacciones"
"Announcing Angular v20","The past couple of years have been transformative for Angular, as we’ve unleashed major advancements like reactivity with Signals and the…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","2d agoA clap icon1.6KA response icon20","{""likes"":0,""comentarios"":0}"
"Build AI-Powered Apps With Genkit and Angular","There has never been a better time to start building with AI and the state-of-the-art models available to developers everywhere. Building…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Mar 17A clap icon208A response icon6","{""likes"":0,""comentarios"":0}"
"Seamless data fetching with httpResource","Fantastic new APIs are coming to Angular. Two years ago, we proposed making Angular a reactive web framework powered by signals. Since…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/0*AlVzEVl10P09VRZx.jpg"",""nombre"":""""}","Mar 7A clap icon547A response icon8","{""likes"":0,""comentarios"":0}"
"Angular 19.2 Is Now Available","And we’re back with Angular’s latest minor release, version 19.2, bringing new APIs and experimental features to empower developers on…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Mar 5A clap icon533A response icon12","{""likes"":0,""comentarios"":0}"
"Micro Frontends with Angular and Native Federation","Enterprise-scale software systems are often implemented by several cross-functional teams. To enable such teams to provide new features…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/0*ie_F70F4bb0alhdm"",""nombre"":""""}","Feb 10A clap icon617A response icon11","{""likes"":0,""comentarios"":0}"
"Angular 2025 Strategy","For the past two and a half years, we’ve been laser focused on improving developer experience and performance for all Angular developers…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Jan 13A clap icon1.4KA response icon26","{""likes"":0,""comentarios"":0}"
"Try Out the New Signal Input Migrations","Authors: Paul Gschwendtner Mark Thompson","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Jan 9A clap icon355A response icon2","{""likes"":0,""comentarios"":0}"
"Meet Angular v19","In the past two years we doubled down on our investment in developer experience and performance — in every single release we’ve been…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Nov 19, 2024A clap icon3.7KA response icon59","{""likes"":0,""comentarios"":0}"
"Angular v19 Release: Join the Watch Parties!","The Angular v19 release is just around the corner, and developers around the world are gearing up to celebrate.","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Nov 14, 2024A clap icon266A response icon3","{""likes"":0,""comentarios"":0}"
"Latest updates to effect() in Angular","Authors: Alex Rickabaugh Mark Thompson","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Oct 7, 2024A clap icon635A response icon1","{""likes"":0,""comentarios"":0}"
"The future is standalone!","Angular v19 will make standalone: true the default for components, directives, and pipes.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*yNCBVxf7m7JX0QAJQBEEAA.jpeg"",""nombre"":""""}","Sep 3, 2024A clap icon1.4KA response icon9","{""likes"":0,""comentarios"":0}"
"Using isolatedModules in Angular 18.2","Authors: Mark Thompson Charles Lyding","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Aug 19, 2024A clap icon573A response icon4","{""likes"":0,""comentarios"":0}"
